pitcher_name,missing_data_type
mike burrows,xSLG
scott blewett,xSLG
dedniel nunez,xSLG
nick vespi,xSLG
tristan beck,xSLG
braxton garrett,xSLG
anthony molina,xSLG
emmanuel rivera,xSLG
zach penrod,xSLG
alex lange,xSLG
trevor richards,xSLG
randy dobnak,xSLG
aaron hicks,xSLG
naoyuki uwasawa,xSLG
alek manoah,xSLG
parker mushinski,xSLG
buck farmer,xSLG
peter strzelecki,xSLG
tyler duffey,xSLG
erik sabrowski,xSLG
xzavion curry,xSLG
yoendrys gomez,xSLG
pedro avila,xSLG
cole sulser,xSLG
nicky lopez,xSLG
victor mederos,xSLG
joe jimenez,xSLG
tommy nance,xSLG
kyle tyler,xSLG
matt bowman,xSLG
sean reid-foley,xSLG
rob zastryzny,xSLG
yency almonte,xSLG
jose marte,xSLG
dylan floro,xSLG
walter pennington,xSLG
aaron brooks,xSLG
huascar brazoban,xSLG
jp feyereisen,xSLG
josh rojas,xSLG
vinny nittoli,xSLG
david robertson,xSLG
caleb boushley,xSLG
ben casparius,xSLG
zach plesac,xSLG
daniel hudson,xSLG
brent honeywell,xSLG
josh sborz,xSLG
david buchanan,xSLG
joey lucchesi,xSLG
spencer turnbull,xSLG
jacob latz,xSLG
humberto castellanos,xSLG
miguel sano,xSLG
tanner rainey,xSLG
marco gonzales,xSLG
chayce mcdermott,xSLG
bryce jarvis,xSLG
ryan yarbrough,xSLG
cole winn,xSLG
joel kuhnel,xSLG
erasmo ramirez,xSLG
david bote,xSLG
austin warren,xSLG
jack o'loughlin,xSLG
tyler heineman,xSLG
josh winder,xSLG
johnny cueto,xSLG
nick pratto,xSLG
andrew knizner,xSLG
joe jacques,xSLG
grant hartwig,xSLG
weston wilson,xSLG
sean guenther,xSLG
keegan thompson,xSLG
rowdy tellez,xSLG
bryan sammons,xSLG
jt chargois,xSLG
josh maciejewski,xSLG
matt barnes,xSLG
rich hill,xSLG
adam cimber,xSLG
sammy peralta,xSLG
isiah kiner-falefa,xSLG
wes parsons,xSLG
dylan coleman,xSLG
jose trevino,xSLG
caleb kilian,xSLG
river ryan,xSLG
jose quijada,xSLG
kyle nelson,xSLG
colin selby,xSLG
scott effross,xSLG
brandon eisert,xSLG
austin pruitt,xSLG
tyler wells,xSLG
john means,xSLG
ricky vanasco,xSLG
nick ramirez,xSLG
matt wallner,xSLG
kyle hurt,xSLG
josh staumont,xSLG
victor gonzalez,xSLG
nabil crismatt,xSLG
cody poteet,xSLG
eli villalobos,xSLG
enoli paredes,xSLG
anthony misiewicz,xSLG
james meeker,xSLG
trevor mcdonald,xSLG
enrique hernandez,xSLG
pablo reyes,xSLG
steven cruz,xSLG
jordan lyles,xSLG
mike yastrzemski,xSLG
jake bauers,xSLG
jose e hernandez,xSLG
garrett hampson,xSLG
brusdar graterol,xSLG
kevin herget,xSLG
luke williams,xSLG
matt foster,xSLG
chasen shreve,xSLG
brooks raley,xSLG
oswaldo cabrera,xSLG
luis torrens,xSLG
luarbert arias,xSLG
evan kravetz,xSLG
dinelson lamet,xSLG
michael stefanic,xSLG
leo rivas,xSLG
isaac mattson,xSLG
nick loftin,xSLG
miguel rojas,xSLG
adam kloffenstein,xSLG
willi castro,xSLG
jb bukauskas,xSLG
pavin smith,xSLG
grae kessinger,xSLG
ezequiel duran,xSLG
wander suero,xSLG
miguel diaz,xSLG
austin hedges,xSLG
evan justice,xSLG
