Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Sean Nolin,,0.0465,0.0514,0,4.53105,1,0,0,0,,1,4.354,1.0267,0.5387,0.50345,0.1468,0.3638,,0.0443,0.8039,7.2351,3.2742,2.20973,1.3212,0.184635,0.0835553,0.101079471,0.260194,1.3905,0.29377,0.718831,,,4.69138,-0.00410736,-0.0475359,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Sean Nolin,11341,543594
Zach Peek,MIL,0.0468,0.0512,0,4.35501,1,0,0,0,,1,4.346,0.9772,0.5206,0.48389,0.1358,0.4091,,0.0445,0.9087,8.1783,3.6819,2.22122,1.2222,0.209089,0.0941325,0.114956275,0.251053,1.3863,0.295446,0.72372,,,4.47528,-0.00411871,-0.0475288,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Zach Peek,sa3014469,686745
Jonathan Heasley,,0.0468,0.0511,0,4.47678,1,0,0,0,,1,4.307,1.0307,0.5322,0.49742,0.1535,0.3117,,0.043,0.8165,7.3485,2.8053,2.61951,1.3815,0.189575,0.0723706,0.117204554,0.260785,1.3424,0.294135,0.718581,,,4.59308,-0.00412666,-0.0475359,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Jonathan Heasley,22224,669169
Sean Kealey,,0.0478,0.0502,0,4.2696,1,0,0,0,,1,4.388,0.9519,0.5115,0.4744,0.1243,0.4845,,0.0439,0.9368,8.4312,4.3605,1.93354,1.1187,0.213491,0.110415,0.10307657,0.246632,1.4364,0.29573,0.732664,,,4.49398,-0.00413687,-0.0475359,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Sean Kealey,sa3015134,701677
Daniel Missaki,TEX,0.0484,0.0528,0.0099,4.37409,0.8821,0.0251,0,0,,1,4.381,0.9389,0.5221,0.48601,0.1327,0.4814,,0.043,1.0006,9.0054,4.3326,2.07852,1.1943,0.228395,0.109884,0.118511751,0.243453,1.4203,0.296038,0.72757,,,4.46358,-0.00413914,-0.0475232,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Daniel Missaki,sa741947,627392
Stephen Woods Jr.,,0.0473,0.0506,0,4.32117,1,0,0,0,,1,4.415,0.9843,0.5219,0.48013,0.1084,0.5057,,0.0425,0.8624,7.7616,4.5513,1.70536,0.9756,0.195334,0.114541,0.080792755,0.254552,1.49,0.302452,0.723413,,,4.49548,-0.00415389,-0.0475359,999,,,,,,,3.8,3.8,4,4,,,,,,,,,,,,,,,,,,,Stephen Woods Jr.,sa737853,642225
McKinley Moore,NYY,0.0487,0.0492,0,4.33944,1,0,0,0,,1,4.442,0.9205,0.5212,0.48216,0.1235,0.5588,,0.0577,0.9908,8.9172,5.0292,1.77309,1.1115,0.223053,0.125799,0.097253501,0.240622,1.4793,0.293966,0.733389,,,4.63988,-0.00415616,-0.0475128,999,,,,,,,3.8,3.8,4,4,,,,,,,,,,,,,,,,,,,McKinley Moore,25663,686842
Anders Tolhurst,TOR,0.048,0.05,0,4.33332,1,0,0,0,,1,4.322,0.9826,0.5171,0.48148,0.1395,0.366,,0.0452,0.8859,7.9731,3.294,2.42049,1.2555,0.204975,0.084683,0.120291531,0.251253,1.3486,0.292195,0.720975,,,4.44178,-0.0041573,-0.0475135,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Anders Tolhurst,sa3019818,689434
Chi Chi González,,0.0461,0.0519,0,4.58955,1,0,0,0,,1,4.322,1.1172,0.5494,0.50995,0.1474,0.2507,,0.0415,0.6314,5.6826,2.2563,2.51855,1.3266,0.14609,0.0580056,0.08808421,0.277235,1.3679,0.298308,0.704668,,,4.69648,-0.00416525,-0.0475359,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Chi Chi Gonzalez,14663,592346
Carl Edwards Jr.,LAA,0.0458,0.0521,0,4.54131,1,0,0,0,,1,4.382,0.9967,0.5434,0.50459,0.1386,0.4529,,0.0349,0.8603,7.7427,4.0761,1.89954,1.2474,0.196326,0.103355,0.09297125,0.255945,1.4496,0.296377,0.72175,,,4.71108,-0.00417773,-0.0475415,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Carl Edwards Jr.,13607,605218
