#1 Twins,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Yariel Rodríguez,49,9.4,3.9,1.2,0.289,71.80%,4.22,4.18,0.1
Brendon Little,48,8.5,4.1,0.8,0.298,74.10%,3.67,3.84,0.1
Mason Fluharty,46,8.7,3.5,1.1,0.292,72.80%,4.03,4.11,0
Dillon Tate,45,7.1,3,1,0.294,69.70%,4.16,4.17,0
Nick Sandlin  ,41,9.7,4,1.1,0.28,73.50%,3.89,4.08,0
Josh Walker,38,9.1,3.8,1,0.291,73.60%,3.86,3.9,0.1
Paxton Schultz,36,8.5,3.6,1.2,0.292,72.00%,4.25,4.19,0
Erik Swanson  ,34,8.7,3.3,1.2,0.29,73.10%,4.09,4.1,0
Eric Lauer,32,8.2,2.8,1.3,0.287,74.20%,4.01,4.18,0
Easton Lucas,29,8.2,4,1.3,0.293,70.90%,4.67,4.63,0
Ryan Burr  ,26,9.7,3.3,1,0.294,74.20%,3.7,3.65,0
Tommy Nance,21,7.9,3.3,1,0.302,72.00%,4.04,3.99,0
Braydon Fisher,20,8.7,4.9,1.2,0.29,72.80%,4.47,4.6,0
Jake Bloss,18,7,3.4,1.4,0.291,70.50%,4.83,4.81,0
Casey Lawrence,15,5.3,1.9,1.4,0.292,69.90%,4.65,4.74,0
Bowden Francis,12,8.1,2.6,1.6,0.281,70.60%,4.57,4.67,0
Alek Manoah  ,7,8.9,3.3,1.2,0.291,72.00%,4.13,4.1,0
