Name,Team,Stuff+,Location+,TTO%,NameASCII,PlayerId,MLBAMID
"River Ryan","LAD",101.30264406779659,87.2737627118644,0.34567901,"River Ryan",29514,689981
"Nick Avila","SFG",95.0734222222222,102.82080000000003,0.34545455,"Nick Avila",25667,687014
"Nick Robertson","- - -",95.84755760368662,100.4977880184332,0.34545455,"Nick Robertson",26226,687798
"Jake Bloss","HOU",91.53165957446808,106.25863829787235,0.34545455,"Jake Bloss",33168,814005
"Walter Pennington","- - -",100.42435699184536,83.38601659116075,0.3452381,"Walter Pennington",27624,679156
"Chase Dollander","COL",103.78343373493978,88.47706827309237,0.3452381,"Chase Dollander",33482,801403
"Casey Legumina","- - -",106.35711853368579,100.49484554804629,0.34502924,"Casey Legumina",25921,668984
"Framber Valdez","HOU",107.27874942670492,101.5348232538414,0.34466912,"Framber Valdez",17295,664285
"Tanner Banks","- - -",105.66689793040638,105.48680377518451,0.34459459,"Tanner Banks",16990,621383
"Adam Oller","MIA",92.4917231638418,94.1425988700565,0.34391534,"Adam Oller",20132,670124
"J.T. Ginn","OAK",96.63194842878384,106.64951331011875,0.34309623,"J.T. Ginn",27889,669372
"Andrew Kittredge","- - -",99.04599315832343,110.38048633037538,0.34302326,"Andrew Kittredge",12828,552640
"Hayden Wesneski","- - -",95.246207977609,106.53869695302974,0.34299517,"Hayden Wesneski",27581,669713
"Yoendrys Gómez","- - -",94.63737373300303,84.9153474032647,0.34285714,"Yoendrys Gomez",22872,672782
"Shane Baz","TBR",104.84210719693291,96.56806054863766,0.34277198,"Shane Baz",22264,669358
"Kutter Crawford","BOS",99.8816258430955,104.33618743343979,0.34255599,"Kutter Crawford",20531,676710
"Aaron Nola","PHI",110.27198872945344,101.81842885469976,0.34230769,"Aaron Nola",16149,605400
"Tanner Bibee","CLE",102.94660426760045,98.57630158939048,0.34198332,"Tanner Bibee",30134,676440
"Connor Gillispie","- - -",90.19330393894677,92.03554556285076,0.34193548,"Connor Gillispie",26171,687362
"Shelby Miller","- - -",93.22127261120389,105.92582614744009,0.34188034,"Shelby Miller",10197,571946
"Kyle Harrison","SFG",90.47223954000357,105.13480630607557,0.34177215,"Kyle Harrison",27758,690986
"Joel Payamps","MIL",102.92532912717606,104.02319769865757,0.34169279,"Joel Payamps",14332,606303
"Collin Snider","SEA",108.59255153571634,106.68941388031466,0.34027778,"Collin Snider",23307,676092
"Jared Koenig","MIL",106.41231020750614,101.259542801277,0.33995037,"Jared Koenig",27517,657649
"Pete Fairbanks","TBR",112.77544116919071,97.21433456379481,0.33980583,"Pete Fairbanks",17998,664126
"Jack Dreyer","LAD",98.09505593437031,97.75425700511401,0.33950617,"Jack Dreyer",30249,676263
"Jacob deGrom","TEX",108.50807179424918,111.17506894109555,0.33942559,"Jacob deGrom",10954,594798
"Eduardo Rodriguez","ARI",91.63570218258938,100.97289096341379,0.33928571,"Eduardo Rodriguez",13164,593958
"Cade Povich","BAL",97.26396497775426,99.22157111326183,0.33908948,"Cade Povich",30055,700249
