"last_name, first_name","player_id","year","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","xslgdiff","wobadiff","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate"
"Stroman, Marcus",573186,2024,".271",".430",".341",".340",".344",".159",".371",".370",".339",".333",".006",".001",".001","72.1",24.4,16.3,13.4,34.4,28.4,"7.4",19,"89.3","9.9",35.5,6.7
"Heaney, Andrew",571760,2025,".242",".400",".255",".307",".302",".158",".286",".361",".240",".320","-0.061","-0.077","-0.052","71.9",26.6,12.2,9.4,34.8,27,"7.3",4,"88.8","9.8",33,9.3
"Montas, Frankie",593423,2024,".247",".428",".325",".333",".330",".181",".376",".388",".323",".331","-0.004","-0.008","-0.008","72.2",26.9,13.9,10.7,28.5,21.9,"7.4",15,"89.3","13.5",36.2,9.2
"Wheeler, Zack",554430,2024,".197",".328",".256",".261",".259",".131",".319",".326",".277",".285","-0.005",".000","-0.005","71.2",20.3,8.5,6.3,26.3,19.6,"7.1",21,"86.5","13.5",32.6,8.3
"Miller, Bryce",682243,2024,".229",".405",".260",".299",".281",".177",".309",".367",".270",".310","-0.029","-0.067","-0.039","71.9",24.6,12.3,9.6,33.5,26.1,"7.2",21,"90.3","16.3",32.8,9.7
"Lodolo, Nick",666157,2025,".226",".380",".255",".287",".276",".155",".281",".325",".248",".284","-0.029","-0.062","-0.032","71.5",22.4,10.1,8.3,30.8,25.2,"7.4",9,"88.9","12.7",25.2,6.5
"Anderson, Tyler",542881,2024,".245",".413",".308",".322",".323",".168",".334",".354",".291",".308","-0.013","-0.019","-0.014","72.1",24.5,12.8,9.3,33,23.8,"7.5",12,"87.2","17.6",34.1,7.9
"Morton, Charlie",450203,2025,".284",".493",".422",".382",".393",".209",".476",".416",".411",".358",".046",".061",".040","72",23.5,17.9,13.8,36.3,28.1,"7.3",7,"91.6","12.8",33.3,11.1
"Martin, Davis",663436,2025,".318",".514",".339",".390",".386",".196",".358",".426",".311",".381","-0.054","-0.074","-0.051","72.2",24.2,20,17,38.9,33.2,"7.2",5,"92.1","11.3",30.2,8.5
"Rocker, Kumar",677958,2025,".318",".527",".396",".386",".362",".210",".457",".445",".411",".388",".023",".007",".010","71.6",22.2,20,16.3,40,32.7,"7.3",8,"92","9.1",38.4,12.3
"Márquez, Germán",608566,2025,".286",".427",".433",".349",".366",".141",".461",".352",".427",".331",".083",".123",".084","73.3",33.7,16.5,13.9,33.5,28.3,"7.4",5,"90.2","12.6",35.1,4.1
"Smith, Shane",681343,2025,".240",".379",".245",".318",".331",".140",".237",".345",".230",".312","-0.063","-0.139","-0.073","72",25.5,15.9,11.1,37.4,26.1,"7.2",2,"90.4","14.9",28.4,6.8
"Megill, Tylor",656731,2025,".218",".317",".252",".280",".300",".099",".298",".344",".295",".325","-0.020","-0.058","-0.028","71.5",24.7,13.3,9.6,34.8,25.1,"7.3",4,"90.4","15.1",25.6,5.1
"Skubal, Tarik",669373,2024,".207",".328",".246",".257",".253",".121",".322",".339",".296",".305","-0.006","-0.017","-0.011","71.1",21.4,11.7,8,30.8,21.1,"7.2",21,"87.5","12",33.1,6.7
"Berríos, José",621244,2024,".265",".440",".308",".334",".328",".175",".346",".383",".298",".337","-0.030","-0.034","-0.026","71.8",24.2,15.1,12.3,36.1,29.3,"7.3",26,"89.6","13.4",36.3,7.8
"Pallante, Andre",669467,2025,".289",".446",".334",".348",".351",".157",".355",".374",".286",".344","-0.049",".010","-0.014","72.3",26.3,17.9,14.1,38.5,30.3,"7.2",9,"89","-1.3",25.7,7.6
"King, Michael",650633,2025,".202",".330",".259",".269",".273",".128",".320",".336",".289",".299","-0.005","-0.027","-0.010","71.6",24.3,13.4,9.5,26.1,18.5,"7.5",6,"88.6","17.2",28.9,7.2
"May, Dustin",669160,2025,".281",".397",".279",".335",".357",".117",".293",".373",".275",".359","-0.065","-0.083","-0.056","72.5",28.9,16.3,12.6,34.1,26.4,"7",2,"89.3","7",33.8,5
